label,real time passed,tau (one Ra),tau (cum Ra),T = phi D / E^2,tau_S,T,lambda,relative error lambda,absolute error lambda,E,relative error E,absolute error E,L = phi D / E,lower limit L,upper limit L,a,lower_a,upper_a,lower_error_a,upper_error_a,Ra,lower_Ra,upper_Ra,lower_error_Ra,upper_error_Ra,Pe,notes,Constants,,,
,[h],[T],[T],[h],[h],[tau_S], [m],, [m],[m/s],, [m/s],[m],,,,,,,,,,,,,,,,value,unit,
066_F02,238.5,730.545513179236,487.049135832915,0.326468366032501,0.514433155628783,946.768555843961,0.086843,0.100330481443525,0.008713,4.64E-07,0.007189655172414,3.336E-09,0.001242198275862,0.001233331050893,0.001251193928764,0.089874393508986,0.081096399366424,0.100620546648418,0.008777994142562,0.010746153139432,57.1807280172414,56.772552938357,57.5948148759183,0.408175078884391,0.414086858676868,0.0988,,pi,3.14159265359,,
066_R02,269,714.237596152934,568.031465508247,0.376625371513489,0.456074803300421,1245.47872716853,0.09888,0.175910194174757,0.017394,4.32E-07,0.008824074074074,3.812E-09,0.001334212962963,0.00132254274779,0.001346090969387,0.0847806157518,0.07146723395629,0.103793768266719,0.01331338179551,0.019013152514919,61.4163375,60.8791354987931,61.963104524181,0.537202001206936,0.546767024180966,0.0920,,gravity,9.807,m/s^2,
067_B01,24.5,340.253739412507,340.253739412507,0.0720050866812,2.47775443102414,137.323430906697,0.064895,0.149980738115417,0.009733,9.88E-07,0.010526315789474,1.04E-08,0.000583380566802,0.000577303685897,0.000589586743044,0.056483368608094,0.048605162097492,0.067156425822185,0.007878206510602,0.010673057214091,26.8541070850202,26.5743768028846,27.1397890752864,0.279730282135624,0.28568199026617,0.2103,,abs. Err. Porosity,0.02,,
067_B02,114,732.430347810417,915.275810719808,0.155646199452003,1.01614327534886,900.734997636601,0.088806,0.118539287885954,0.010527,6.72E-07,0.119047619047619,8E-08,0.000857708333333,0.000766462765957,0.000973614864865,0.060684417695267,0.048481648491079,0.078148706725571,0.012202769204187,0.017464289030304,39.48193125,35.2817257978723,44.8173273648649,4.20020545212766,5.33539611486486,0.1430,,diffusivity modified by tortuosity,7.068E-10,m^2/s,
067_B03,124,796.678623934137,979.524086843528,0.155646199452003,1.01614327534886,963.962573592032,0.112401,0.144678428127864,0.016262,6.72E-07,0.119047619047619,8E-08,0.000857708333333,0.000766462765957,0.000973614864865,0.047945662385974,0.037429778487711,0.063630811780557,0.010515883898263,0.015685149394583,39.48193125,35.2817257978723,44.8173273648649,4.20020545212766,5.33539611486486,0.1430,,rel. err. mod. Diffusivity,4.38979865524867E-05,,
067_B05,256.5,5012.62858172644,3568.89362711157,0.051170757182184,4.18888556053419,851.991198025579,0.092173,0.193939656949432,0.017876,1.172E-06,0.063481228668942,7.44E-08,0.000491791808874,0.000462435815148,0.00052512755102,0.033524123850877,0.026402510874696,0.044409245500718,0.007121612976181,0.010885121649842,22.6381039249147,21.2867922015404,24.1726109693878,1.35131172337424,1.53450704447308,0.2495,,abs. Err. Mod. Diffusivity,3.10252348961331E-14,m^2/s,
067_B06,282,1705.56090713358,3723.11987935237,0.165341500746484,0.956877762673943,3890.90438150461,0.064624,0.19008417925229,0.012284,6.52E-07,0.00559509202454,3.648E-09,0.000884018404908,0.000879099760847,0.000888992399191,0.085950288638811,0.071820183867753,0.10671960223135,0.014130104771058,0.020769313592539,40.6930334355828,40.4666189784763,40.9219957677311,0.226414457106564,0.228962332148292,0.1388,,tortuosity,1.42380556698639,,
067_B07,291.5,2055.4494977758,3790.10708425416,0.141818128013085,1.11695997552465,3393.23446435392,0.132689,0.080941148098185,0.01074,7.04E-07,0.015511363636364,1.092E-08,0.000818721590909,0.000806216080121,0.000831621169273,0.038768695752256,0.035317857818346,0.042847665105236,0.003450837933909,0.00407896935298,37.6872980113636,37.1116457785486,38.2810899174698,0.575652232814988,0.593791906106212,0.1499,,evaporation correction,0.4,,"evaporation was erroneously calculated with a correction factor of 0.4 to account for porosity. This is not needed. Instead of re-calculating all porosities, here I multiply by the correction factor (it was previously used to divide by it) to correct the error"
067_B08,307.5,2607.36993863285,3925.7751135814,0.117934933376287,1.35869441928165,2889.37310543821,0.061249,0.230534376071446,0.01412,7.72E-07,0.031036269430052,2.396E-08,0.000746606217617,0.000724131865923,0.000770520293032,0.076590070315887,0.060367720155869,0.102724899405155,0.016222350160018,0.026134829089269,34.3676914507772,33.3331546811398,35.4685014170365,1.03453676963744,1.10080996625932,0.1643,,,,,
068_B03,119,3.96607221784864,3.96607221784864,30.0044965052478,0.020528854586603,193.195007598566,0.07546,0.283527696793003,0.021395,4.84E-08,0.026115702479339,1.264E-09,0.01190867768595,0.011605589561856,0.012228021045485,0.991577374295069,0.75287873435768,1.42108429055547,0.238698639937389,0.429506916260404,548.178880165289,534.227162532216,562.878856924644,13.9517176330728,14.6999767593543,0.0103,,,,,
068_B04,163,4.57168688526145,5.20014720528118,35.6542353163975,0.018335836113253,283.605676510311,0.129875,0.218633301251203,0.028395,4.44E-08,0.023513513513514,1.044E-09,0.012981531531532,0.012683302526186,0.013294123074084,0.628029783896922,0.503516396531568,0.823112325294927,0.124513387365354,0.195082541398005,597.564364864865,583.836321626617,611.953542762248,13.7280432382474,14.3891778973826,0.0095,,,,,
