d_s_center,d_s_lower,d_s_upper,site,z
1.7109593280635175e-05,1.6329958300030447e-05,1.7926453400429022e-05,owens_lake_T2-5_P2,3.0
2.574703713547706e-05,2.4573818982683543e-05,2.6976273433512886e-05,owens_lake_T2-5_P2,4.0
2.41921265932143e-05,2.308976046478324e-05,2.5347126301039725e-05,owens_lake_T2-5_P2,5.0
2.0674486161558496e-05,1.973240781246228e-05,2.166154250370556e-05,owens_lake_T2-5_P3,1.0
2.0921346134570094e-05,1.9968017749586576e-05,2.1920186928993575e-05,owens_lake_T2-5_P3,2.0
1.7217766762593737e-05,1.6433201283933436e-05,1.8039789865226215e-05,owens_lake_T2-5_P3,3.0
1.2304920156622532e-05,1.174421950706821e-05,1.289239070216107e-05,owens_lake_T2-5_P3,4.0
2.1987661516035785e-06,2.0985745623091488e-06,2.3037412676936733e-06,owens_lake_T10-3_P1,1.0
4.356814522640377e-06,4.15828672447458e-06,4.564820778931904e-06,owens_lake_T10-3_P1,2.0
5.799456518634742e-06,5.53519147463724e-06,6.076338316240041e-06,owens_lake_T10-3_P1,3.0
4.132585006345445e-06,3.94427460504497e-06,4.329885783726712e-06,owens_lake_T10-3_P1,4.0
4.8458871668712326e-06,4.625073645017045e-06,5.077243009765289e-06,owens_lake_T10-3_P1,5.0
3.8080920942123346e-06,3.634567983614152e-06,3.9899007719144255e-06,owens_lake_T10-3_P1,6.0
3.497837928951285e-06,3.338451255651013e-06,3.66483425004252e-06,owens_lake_T10-3_P1,7.0
4.701094429604032e-06,4.486878697372299e-06,4.925537457243885e-06,owens_lake_T16_P1,1.0
4.664639106810473e-06,4.4520845051731015e-06,4.887341612276123e-06,owens_lake_T16_P1,2.0
4.211420355156758e-06,4.019517638827274e-06,4.412484936531362e-06,owens_lake_T16_P1,3.0
1.2150293806940468e-05,1.1596638865425665e-05,1.2730381791268327e-05,owens_lake_T16_P1,4.0
8.187247111956368e-06,7.814177076551229e-06,8.578128437307593e-06,owens_lake_T16_P1,5.0
9.15194144531839e-06,8.734913115169675e-06,9.588880060520202e-06,owens_lake_T16_P1,6.0
7.355532361024629e-06,7.020361359043987e-06,7.706705523302509e-06,owens_lake_T16_P1,7.0
9.51870289042746e-06,9.08496238624749e-06,9.973151882945734e-06,owens_lake_T25-3_P1,1.0
1.797731462997922e-05,1.715813886798293e-05,1.8835600753594313e-05,owens_lake_T25-3_P1,2.0
9.935217340996761e-06,9.482497406993623e-06,1.0409551789992133e-05,owens_lake_T25-3_P1,3.0
8.158262364079933e-06,7.786513319770758e-06,8.547760182728194e-06,owens_lake_T25-3_P1,4.0
9.156891811336191e-06,8.739637899056843e-06,9.594066742279211e-06,owens_lake_T25-3_P1,5.0
8.70831682759471e-06,8.311503239612976e-06,9.124075588253971e-06,owens_lake_T25-3_P1,6.0
7.439209108018454e-06,7.100225191035614e-06,7.794377206100126e-06,owens_lake_T25-3_P1,7.0
1.0666770474471044e-05,1.0180716747341763e-05,1.1176032428810674e-05,owens_lake_T25-3_P2,1.0
3.018283901933187e-05,2.8807493201905535e-05,3.1623852056852285e-05,owens_lake_T25-3_P2,2.0
,,,owens_lake_T25-3_P2,3.0
2.5110589213699243e-05,2.396637174704768e-05,2.630943922769195e-05,owens_lake_T25-3_P2,4.0
2.374336180621143e-05,2.266144510155828e-05,2.4876936666375027e-05,owens_lake_T25-3_P2,5.0
1.750632365848896e-05,1.6708610909721414e-05,1.8342124889777073e-05,owens_lake_T25-3_P2,6.0
5.552541380368006e-05,5.299527579455229e-05,5.817634822456647e-05,owens_lake_T27-A_P1,1.0
1.796225231156904e-05,1.714376399827392e-05,1.8819820665209197e-05,owens_lake_T27-A_P1,2.0
2.0968567935678558e-05,2.001309070390624e-05,2.196966649435189e-05,owens_lake_T27-A_P1,3.0
4.208971294253459e-05,4.0171804746140086e-05,4.4099193219062595e-05,owens_lake_T27-A_P1,4.0
1.611511065606656e-05,1.5380791570663924e-05,1.6884491588546145e-05,owens_lake_T27-A_P1,5.0
3.980751034576081e-05,3.7993594511343875e-05,4.170803076366156e-05,owens_lake_T27-A_P2,1.0
3.950229011037105e-05,3.770228181024175e-05,4.138823800456106e-05,owens_lake_T27-A_P2,2.0
3.550981900034189e-05,3.389173768302422e-05,3.7205156660095866e-05,owens_lake_T27-A_P2,3.0
2.470631574413064e-05,2.3580519757963534e-05,2.588586459812804e-05,owens_lake_T27-A_P2,4.0
2.4450313416982374e-05,2.3336182453252784e-05,2.5617639693697887e-05,owens_lake_T27-A_P2,5.0
2.8518938034471872e-05,2.721940928528249e-05,2.9880509232031256e-05,owens_lake_T27-A_P3,1.0
2.5371700748370027e-05,2.4215583151802493e-05,2.6583014701741668e-05,owens_lake_T27-A_P3,2.0
1.8382258908910507e-05,1.7544630756734804e-05,1.925987805514145e-05,owens_lake_T27-A_P3,3.0
1.8502062623418434e-05,1.7658974490739543e-05,1.9385400440077854e-05,owens_lake_T27-A_P3,4.0
